Country,Position,Date,Song title,Song author,Country,Genre
Chile,19,2023-07-15,2 Hielos,King Savagge,,
Chile,20,2023-07-15,Lokotron,"Pablo Chill-e & Harry Nach, Polima Westcoast, Cris MJ & Aqua VS",CL,
Chile,1,2023-06-17,Tu Falta De Querer,Mon Laferte,MX,Rock y Alternativo
Chile,2,2023-06-17,Marisola,Cris MJ,,
Chile,3,2023-06-17,La Inocente,Feir & Mora,,
Chile,4,2023-06-17,Una En Un Millon,Jere Klein,,Urbano latino
Chile,5,2023-06-17,Mi Buen Amor,Mon Laferte & Enrique Bunbury,ES,
Chile,6,2023-06-17,Xq Tan Sola?,Nickoog Clk,,
Chile,7,2023-06-17,Ultra Solo Remix,"Feid, De La Ghetto, Paloma Mami, Polima Westcoast & Pailita",CL,
Chile,8,2023-06-17,Donde?,Jere Klein,,
Chile,9,2023-06-17,Ram,Jere Klein,,
Chile,10,2023-06-17,Ibiza,"Balbi El Chamako, El Baice & Jere Klein",CL,
Chile,11,2023-06-17,Sheraton,El Jordan 23,,Urbano latino
Chile,12,2023-06-17,2 Hielos,King Savagge,,
Chile,13,2023-06-17,Madrid,Juanka El Problematik & Jairo Vera,PR,
Chile,14,2023-06-17,Pegate,Standly,,Latino
Chile,15,2023-06-17,Me Veo Rico,Gino Mella & Lucky Brown,,
Chile,16,2023-06-17,34 Amor Y Mafia Remix,El Jincho & Harry Nach,,
Chile,17,2023-06-17,Roll Royce,Standly,,
Chile,18,2023-06-17,Bailando,El Jordan 23,,
Chile,19,2023-06-17,Ropa Cara,El Jordan 23 & Pailita,,Urbano latino
Chile,20,2023-06-17,El Amor De Tu Vida,Gino Mella & Jairo Vera,,
Chile,1,2023-05-20,Marisola,Cris MJ,,
Chile,2,2023-05-20,Mi Buen Amor,Mon Laferte & Enrique Bunbury,ES,
Chile,3,2023-05-20,Tu Falta De Querer,Mon Laferte,MX,Rock y Alternativo
Chile,4,2023-05-20,Xq Tan Sola?,Nickoog Clk,,
Chile,5,2023-05-20,Donde?,Jere Klein,,
Chile,6,2023-05-20,La Inocente,Feir & Mora,,
Chile,7,2023-05-20,Ibiza,"Balbi El Chamako, El Baice & Jere Klein",CL,
